title,venue,island,start_date,end_date,description,url,location
Courtyards of HoMA,Honolulu Museum of Art,Oahu,,,,/events/courtyards-of-homa-nkft,Honolulu Museum of Art
Sanatorium Under the Sign of the Hourglass,Honolulu Museum of Art,Oahu,2025-10-11,,,/events/sanatorium-under-the-sign-of-the-hourglass-t6qc,Honolulu Museum of Art
The Collection in Context: Evoking Divinity,Honolulu Museum of Art,Oahu,,,,/events/the-collection-in-context-evoking-divinity-q6vt,Honolulu Museum of Art
In the Mood for Love 25th Anniversary + In the Mood for Love 2001,Honolulu Museum of Art,Oahu,,,,/events/in-the-mood-for-love-25th-anniversary-in-the-mood-for-love-2001-b3xd,Honolulu Museum of Art
Highlights tour,Honolulu Museum of Art,Oahu,,,,/events/highlights-tour-fmq7,Honolulu Museum of Art
Tour & Talk Story,Honolulu Museum of Art,Oahu,,,,/events/tour-and-talk-story-1mrc,Honolulu Museum of Art
New Exhibitions Spotlight,Honolulu Museum of Art,Oahu,,,,/events/new-exhibitions-spotlight-r57m,Honolulu Museum of Art
日本語ガイドによるハイライトツアー,Honolulu Museum of Art,Oahu,2025-10-17,,,/events/highlights-tour-japanese-5pnz,Honolulu Museum of Art
Saving Face,Honolulu Museum of Art,Oahu,2025-10-17,,,/events/saving-face-8n1s,Honolulu Museum of Art
HoMA Nights,Honolulu Museum of Art,Oahu,2025-10-17,,,/events/homa-nights-64pb,Honolulu Museum of Art
Special event,Honolulu Museum of Art,Oahu,,,,/events?genres%5B0%5D=19,Honolulu Museum of Art
Family Sunday: True Colors,Honolulu Museum of Art,Oahu,2025-10-19,,,/events/family-sunday-true-colors-xrw6,Honolulu Museum of Art
Removed by Force: The Eviction of Hawaiʻi’s Japanese Americans During World War II,Honolulu Museum of Art,Oahu,2025-10-19,,,/events/removed-by-force-the-eviction-of-hawai-i-s-japanese-americans-during-world-war-ii-tb1c,Honolulu Museum of Art
First Friday Hawaii Event Calendar,First Friday Honolulu,Oahu,,,,https://www.firstfridayhawaii.com/calendar.html,First Friday Honolulu
Powered by MBC CalendarMaker,First Friday Honolulu,Oahu,,,,https://www.firstfridayhawaii.com/webtools.html,First Friday Honolulu
Tweet,First Friday Honolulu,Oahu,,,,http://twitter.com/share,First Friday Honolulu
October,First Friday Honolulu,Oahu,,,,https://www.firstfridayhawaii.com/calendar.html,First Friday Honolulu
EXHIBIT / ENTERTAINMENT - Capitol Modern - Hawaii State Art Museum First Friday - OCTOBER 2025,First Friday Honolulu,Oahu,2025-10-03,,,https://www.firstfridayhawaii.com/calendar/202510/24463.html,First Friday Honolulu
Downtown Art Center Presents - Hawaiʻi Craftsmen Annual Statewide Exhibition 2025,First Friday Honolulu,Oahu,2025-10-03,,,https://www.firstfridayhawaii.com/calendar/202510/24466.html,First Friday Honolulu
